PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,PlayResult,TaggedHitType,RelSpeed,Runner
1,2026/2/11,1,1,香西,Left,"Suda, Yuki",Left,0,0,0,Slider,BallCalled,,,117,
2,2026/2/11,1,2,香西,Left,"Suda, Yuki",Left,0,1,0,Curveball,StrikeCalled,,,103,
3,2026/2/11,1,3,香西,Left,"Suda, Yuki",Left,0,1,1,Fastball,InPlay,Out,GroundBall,133,
4,2026/2/11,2,1,香西,Left,"Yamane, Juntaro",Right,1,0,0,Fastball,StrikeCalled,,,133,
5,2026/2/11,2,2,香西,Left,"Yamane, Juntaro",Right,1,0,1,Fastball,FoulBallFieldable,,,134,
6,2026/2/11,2,3,香西,Left,"Yamane, Juntaro",Right,1,0,2,Fastball,BallCalled,,,135,
7,2026/2/11,2,4,香西,Left,"Yamane, Juntaro",Right,1,1,2,ChangeUp,StrikeSwinging,Strikeout,,122,
8,2026/2/11,3,1,香西,Left,"Okanishi, Yuya",Left,2,0,0,Slider,BallCalled,,,112,
9,2026/2/11,3,2,香西,Left,"Okanishi, Yuya",Left,2,1,0,Cutter,BallCalled,,,127,
10,2026/2/11,3,3,香西,Left,"Okanishi, Yuya",Left,2,2,0,Cutter,StrikeCalled,,,127,
11,2026/2/11,3,4,香西,Left,"Okanishi, Yuya",Left,2,2,1,Slider,InPlay,Single,GroundBall,118,
12,2026/2/11,4,1,香西,Left,"Terao, Kensei",Right,2,0,0,Fastball,StrikeCalled,,,134,1
13,2026/2/11,4,2,香西,Left,"Terao, Kensei",Right,2,0,1,Fastball,InPlay,Out,GroundBall,133,1
14,2026/2/11,1,1,香西,Left,"Ogata, Mikito",Left,0,0,0,Curveball,StrikeCalled,,,104,
15,2026/2/11,1,2,香西,Left,"Ogata, Mikito",Left,0,0,1,Fastball,BallCalled,,,136,
16,2026/2/11,1,3,香西,Left,"Ogata, Mikito",Left,0,1,1,Fastball,StrikeCalled,,,136,
17,2026/2/11,1,4,香西,Left,"Ogata, Mikito",Left,0,1,2,Cutter,StrikeSwinging,Strikeout,,127,
18,2026/2/11,2,1,香西,Left,"Takahashi, Hiroto",Right,1,0,0,ChangeUp,BallCalled,,,124,
19,2026/2/11,2,2,香西,Left,"Takahashi, Hiroto",Right,1,1,0,Fastball,FoulBallFieldable,,,134,
20,2026/2/11,2,3,香西,Left,"Takahashi, Hiroto",Right,1,1,1,ChangeUp,BallCalled,,,122,
21,2026/2/11,2,4,香西,Left,"Takahashi, Hiroto",Right,1,2,1,Curveball,FoulBallFieldable,,,105,
22,2026/2/11,2,5,香西,Left,"Takahashi, Hiroto",Right,1,2,2,Fastball,BallCalled,,,136,
23,2026/2/11,2,6,香西,Left,"Takahashi, Hiroto",Right,1,3,2,Fastball,FoulBallNotFieldable,,,137,
24,2026/2/11,2,7,香西,Left,"Takahashi, Hiroto",Right,1,3,2,Fastball,StrikeCalled,Strikeout,,134,
25,2026/2/11,3,1,香西,Left,"Tokumaru, Kaisei",Left,2,0,0,Slider,StrikeCalled,,,118,
26,2026/2/11,3,2,香西,Left,"Tokumaru, Kaisei",Left,2,0,1,Cutter,BallCalled,,,128,
27,2026/2/11,3,3,香西,Left,"Tokumaru, Kaisei",Left,2,1,1,Cutter,BallCalled,,,128,
28,2026/2/11,3,4,香西,Left,"Tokumaru, Kaisei",Left,2,2,1,TwoSeamFastball,InPlay,Out,GroundBall,136,
29,2026/2/11,1,1,香西,Left,"Ouchi, Aoma",Left,0,0,0,Fastball,BallCalled,,,136,
30,2026/2/11,1,2,香西,Left,"Ouchi, Aoma",Left,0,1,0,Fastball,FoulBallFieldable,,,136,
31,2026/2/11,1,3,香西,Left,"Ouchi, Aoma",Left,0,1,1,Curveball,BallCalled,,,107,
32,2026/2/11,1,4,香西,Left,"Ouchi, Aoma",Left,0,2,1,TwoSeamFastball,InPlay,Out,GroundBall,124,
1,2026/2/11,1,1,越井,Right,"Suda, Yuki",Left,1,0,0,TwoSeamFastball,BallCalled,,,133,
2,2026/2/11,1,2,越井,Right,"Suda, Yuki",Left,1,1,0,Slider,BallCalled,,,116,
3,2026/2/11,1,3,越井,Right,"Suda, Yuki",Left,1,2,0,Fastball,StrikeCalled,,,144,
4,2026/2/11,1,4,越井,Right,"Suda, Yuki",Left,1,2,1,Fastball,InPlay,Error,GroundBall,147,
5,2026/2/11,2,1,越井,Right,"Yamane, Juntaro",Right,1,0,0,Cutter,FoulBallFieldable,,,134,1
6,2026/2/11,2,2,越井,Right,"Yamane, Juntaro",Right,1,0,1,Fastball,BallCalled,,,142,1
7,2026/2/11,2,3,越井,Right,"Yamane, Juntaro",Right,1,1,1,Cutter,StrikeCalled,,,128,1
