PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,PlayResult,TaggedHitType,RelSpeed
1,2026/3/23,1,1,宮城,Left,1,Left,0,0,0,Cutter,BallCalled,,,
2,2026/3/23,1,2,宮城,Left,1,Left,0,1,0,Fastball,BallCalled,,,143
3,2026/3/23,1,3,宮城,Left,1,Left,0,2,0,Fastball,InPlay,Out,GroundBall,142
4,2026/3/23,2,1,宮城,Left,2,Right,1,0,0,Fastball,StrikeCalled,,,144
5,2026/3/23,2,2,宮城,Left,2,Right,1,0,1,Splitter,BallCalled,,,131
6,2026/3/23,2,3,宮城,Left,2,Right,1,1,1,Splitter,InPlay,Out,GroundBall,132
7,2026/3/23,3,1,宮城,Left,3,Left,2,0,0,Fastball,StrikeSwinging,,,144
8,2026/3/23,3,2,宮城,Left,3,Left,2,0,1,Fastball,StrikeCalled,,,143
9,2026/3/23,3,3,宮城,Left,3,Left,2,0,2,Fastball,StrikeCalled,Strikeout,,145
10,2026/3/23,1,1,宮城,Left,4,Left,0,0,0,Slider,StrikeCalled,,,125
11,2026/3/23,1,2,宮城,Left,4,Left,0,0,1,Slider,StrikeCalled,,,122
12,2026/3/23,1,3,宮城,Left,4,Left,0,0,2,Splitter,StrikeSwinging,Strikeout,,131
13,2026/3/23,2,1,宮城,Left,5,Right,1,0,0,Splitter,BallCalled,,,122
14,2026/3/23,2,2,宮城,Left,5,Right,1,1,0,Fastball,BallCalled,,,139
15,2026/3/23,2,3,宮城,Left,5,Right,1,2,0,Slider,StrikeCalled,,,126
16,2026/3/23,2,4,宮城,Left,5,Right,1,2,1,Fastball,InPlay,Single,GroundBall,
17,2026/3/23,3,1,宮城,Left,6,Left,1,0,0,Fastball,StrikeCalled,,,136
18,2026/3/23,3,2,宮城,Left,6,Left,1,0,1,Fastball,BallCalled,,,
19,2026/3/23,3,3,宮城,Left,6,Left,1,1,1,Fastball,FoulBallFieldable,,,138
20,2026/3/23,3,4,宮城,Left,6,Left,1,1,2,Cutter,InPlay,Out,,131
21,2026/3/23,4,1,宮城,Left,7,Right,0,0,0,Slider,BallCalled,,,
22,2026/3/23,4,2,宮城,Left,7,Right,0,1,0,Slider,InPlay,Out,GroundBall,126
23,2026/3/23,5,1,宮城,Left,8,Left,1,0,0,Slider,StrikeSwinging,,,126
24,2026/3/23,5,2,宮城,Left,8,Left,1,0,1,Slider,StrikeSwinging,,,120
25,2026/3/23,5,3,宮城,Left,8,Left,1,0,2,Fastball,BallCalled,,,138
26,2026/3/23,5,4,宮城,Left,8,Left,1,1,2,Cutter,BallCalled,,,129
27,2026/3/23,5,5,宮城,Left,8,Left,1,2,2,Slider,StrikeSwinging,Strikeout,,125
28,2026/3/23,6,1,宮城,Left,9,Left,2,0,0,Slider,BallCalled,,,123
29,2026/3/23,6,2,宮城,Left,9,Left,2,1,0,Slider,BallCalled,,,120
30,2026/3/23,6,3,宮城,Left,9,Left,2,2,0,Fastball,InPlay,Single,GroundBall,135
31,2026/3/23,7,1,宮城,Left,1,Left,2,0,0,Slider,StrikeCalled,,,124
32,2026/3/23,7,2,宮城,Left,1,Left,2,0,1,Fastball,BallCalled,,,137
33,2026/3/23,7,3,宮城,Left,1,Left,2,1,1,Fastball,BallCalled,,,135
34,2026/3/23,7,4,宮城,Left,1,Left,2,2,1,Cutter,FoulBallFieldable,,,127
35,2026/3/23,7,5,宮城,Left,1,Left,2,2,2,Fastball,BallCalled,,,137
36,2026/3/23,7,6,宮城,Left,1,Left,2,3,2,Fastball,BallCalled,Walk,,138
37,2026/3/23,8,1,宮城,Left,2,Right,2,0,0,Splitter,StrikeSwinging,,,132
38,2026/3/23,8,2,宮城,Left,2,Right,2,0,1,Fastball,BallCalled,,,140
39,2026/3/23,8,3,宮城,Left,2,Right,2,1,1,Splitter,InPlay,Out,FlyBall,127
40,2026/3/23,1,1,宮城,Left,3,Left,0,0,0,Cutter,StrikeSwinging,,,124
41,2026/3/23,1,2,宮城,Left,3,Left,0,0,1,Slider,BallCalled,,,119
